Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Direccion de Viento [°],Rafaga de Viento [km/h],Temperatura de suelo [°C]
01-06-2019 00:00,11.06,0,5.25047,337.5,9.53534,13.2
01-06-2019 00:10,11.03,0,6.81958,337.5,12.1706,13.2
01-06-2019 00:20,11.03,0,6.83969,0,15.0876,13.2
01-06-2019 00:30,11.02,0,6.27643,0,11.1849,13.2
01-06-2019 00:40,11.01,0,5.37117,0,9.47499,13.1
01-06-2019 00:50,11.02,0,5.0493,0,9.47499,13.1
01-06-2019 01:00,11.03,0,5.95456,0,11.9091,13.1
01-06-2019 01:10,11.03,0,6.87993,0,11.9896,13.1
01-06-2019 01:20,11.05,0,6.47759,0,13.9811,13.2
01-06-2019 01:30,11.05,0,5.14989,0,10.8027,13.1
01-06-2019 01:40,11.03,0,3.8423,0,8.44903,13.1
01-06-2019 01:50,10.94,0,4.96884,0,8.38869,13.1
01-06-2019 02:00,10.88,0,3.90265,22.5,8.2881,13.1
01-06-2019 02:10,10.86,0,5.0493,0,11.0843,13.1
01-06-2019 02:20,10.85,0,5.83386,22.5,13.961,13.1
01-06-2019 02:30,10.86,0,6.03503,0,13.1564,13
01-06-2019 02:40,10.87,0,7.60413,0,13.6794,13
01-06-2019 02:50,10.88,0,7.4432,0,14.8462,13
01-06-2019 03:00,10.92,0,6.63853,0,13.7397,13
01-06-2019 03:10,10.96,0,7.94612,0,20.1771,13
01-06-2019 03:20,11,0,8.63009,0,18.266,13
01-06-2019 03:30,11.05,0,7.36273,0,16.8578,13
01-06-2019 03:40,11.06,0,5.35106,0,10.7826,13
01-06-2019 03:50,11.07,0,5.73327,0,13.5587,13
01-06-2019 04:00,11.1,0,5.0493,0,11.366,12.9
01-06-2019 04:10,11.12,0,4.28487,0,11.366,12.9
01-06-2019 04:20,11.1,0,5.19012,0,5.19012,13
01-06-2019 04:30,11.09,0,4.50615,0,8.32833,13
01-06-2019 04:40,11.13,0,0.663853,22.5,3.66125,12.9
01-06-2019 04:50,11.16,0,1.18689,315,4.66709,12.9
01-06-2019 05:00,11.17,0,0.724203,315,2.01167,12.9
01-06-2019 05:10,11.16,0,0.925371,315,3.15833,12.9
01-06-2019 05:20,11.12,0,2.25308,315,4.96884,12.9
01-06-2019 05:30,11.05,0,3.19856,337.5,3.19856,13
01-06-2019 05:40,10.98,0,2.97728,292.5,6.85981,12.9
01-06-2019 05:50,10.94,0,2.81634,292.5,3.21868,12.9
01-06-2019 06:00,10.93,0,0.824787,315,2.13238,12.9
01-06-2019 06:10,10.93,0,0.965604,315,2.51459,12.9
01-06-2019 06:20,10.9,0,1.30759,337.5,1.30759,12.9
01-06-2019 06:30,10.86,0,2.39389,315,4.70732,12.9
01-06-2019 06:40,10.81,0,2.95716,90,7.18168,12.9
01-06-2019 06:50,10.8,0,1.54899,90,3.43996,12.9
01-06-2019 07:00,10.79,0,2.49448,337.5,4.18428,12.9
01-06-2019 07:10,10.76,0,2.55483,337.5,4.3251,12.9
01-06-2019 07:20,10.76,0,2.25308,337.5,4.18428,12.9
01-06-2019 07:30,10.79,0,0.925371,337.5,2.63529,12.9
01-06-2019 07:40,10.8,0,2.75599,315,4.36533,12.9
01-06-2019 07:50,10.81,0,1.64957,315,1.83062,12.9
01-06-2019 08:00,10.81,0,3.19856,247.5,5.57234,12.9
01-06-2019 08:10,10.79,0,3.15833,202.5,4.64697,12.9
01-06-2019 08:20,10.77,0,3.86242,180,5.61257,12.9
01-06-2019 08:30,10.74,0,3.66125,270,6.9604,12.9
01-06-2019 08:40,10.78,0,3.37961,315,5.97467,12.9
01-06-2019 08:50,10.82,0,3.78195,247.5,6.39713,12.9
01-06-2019 09:00,10.84,0,4.00323,270,7.26215,12.9
01-06-2019 09:10,10.94,0,3.76183,315,7.18168,12.9
01-06-2019 09:20,11.06,0,2.09214,247.5,4.82802,12.9
01-06-2019 09:30,11.15,0,4.02335,247.5,6.79946,13
01-06-2019 09:40,11.27,0,2.75599,225,6.35689,13
01-06-2019 09:50,11.41,0,1.64957,225,1.70992,13.1
01-06-2019 10:00,11.61,0,1.18689,292.5,3.62101,13.2
01-06-2019 10:10,11.74,0,2.45424,315,4.90849,13.3
01-06-2019 10:20,12,0,1.77027,315,3.963,13.3
01-06-2019 10:30,12.26,0,3.01751,0,5.91432,13.4
01-06-2019 10:40,12.47,0,2.91693,0,5.23035,13.6
01-06-2019 10:50,13.05,0,2.21284,45,5.49187,13.7
01-06-2019 11:00,13.22,0,4.70732,0,9.83709,13.9
01-06-2019 11:10,13.48,0,3.31926,22.5,8.06682,14.1
01-06-2019 11:20,13.59,0,3.6009,0,6.55806,14.3
01-06-2019 11:30,13.73,0,3.70148,0,8.48927,14.5
01-06-2019 11:40,14.1,0,4.06358,0,8.95195,14.7
01-06-2019 11:50,14.09,0,3.58078,0,7.58401,14.9
01-06-2019 12:00,14.06,0,3.92277,22.5,8.12717,15
01-06-2019 12:10,14.73,0,2.59506,337.5,4.9286,15.1
01-06-2019 12:20,15.02,0,3.90265,225,9.45487,15.4
01-06-2019 12:30,15.65,0,2.41401,202.5,3.70148,15.8
01-06-2019 12:40,16.15,0,2.65541,0,4.66709,16.3
01-06-2019 12:50,16.24,0,4.3251,45,10.6619,16.7
01-06-2019 13:00,16.43,0,3.54055,45,5.73327,17.1
01-06-2019 13:10,16.34,0,4.46592,135,8.85137,17.4
01-06-2019 13:20,16.45,0,5.21024,180,10.4406,17.7
01-06-2019 13:30,16.6,0,5.53211,157.5,12.1706,18
01-06-2019 13:40,17.14,0,3.01751,180,8.22775,18.2
01-06-2019 13:50,17.47,0,3.01751,45,8.5295,18.4
01-06-2019 14:00,17.54,0,4.8079,0,10.6216,18.6
01-06-2019 14:10,18.12,0,2.63529,45,3.68137,18.8
01-06-2019 14:20,18.23,0,4.30498,315,9.97791,19
01-06-2019 14:30,18.3,0,3.86242,292.5,9.39452,19.2
01-06-2019 14:40,18.56,0,2.71576,337.5,6.67876,19.3
01-06-2019 14:50,18.66,0,5.55222,292.5,5.55222,19.5
01-06-2019 15:00,18.66,0,5.47176,315,11.1447,19.6
01-06-2019 15:10,18.76,0,4.0837,202.5,4.0837,19.6
01-06-2019 15:20,19.01,0,4.30498,292.5,7.62425,19.5
01-06-2019 15:30,19.06,0,3.74172,292.5,8.91172,19.3
01-06-2019 15:40,19.18,0,5.02919,270,7.72483,19.1
01-06-2019 15:50,19.18,0,5.27059,270,9.69627,18.9
01-06-2019 16:00,19.5,0,2.33354,270,6.79946,18.7
01-06-2019 16:10,19.5,0,4.8079,0,8.91172,18.6
01-06-2019 16:20,19.61,0,3.46008,315,8.08693,18.4
01-06-2019 16:30,19.76,0,2.89681,247.5,4.58662,18.2
01-06-2019 16:40,19.99,0,2.73588,247.5,9.87732,18
01-06-2019 16:50,19.89,0,3.29915,202.5,11.6677,17.8
01-06-2019 17:00,20.08,0,2.43413,337.5,6.71899,17.6
01-06-2019 17:10,20.01,0,3.07786,0,6.17584,17.5
01-06-2019 17:20,19.36,0,4.18428,292.5,8.36857,17.3
01-06-2019 17:30,18.86,0,3.21868,270,6.9604,17.1
01-06-2019 17:40,18.42,0,3.31926,315,6.29654,16.9
01-06-2019 17:50,17.97,0,3.54055,292.5,5.81374,16.8
01-06-2019 18:00,17.49,0,2.77611,270,4.0837,16.6
01-06-2019 18:10,17.14,0,1.34782,270,4.18428,16.4
01-06-2019 18:20,16.74,0,0.341985,270,2.21284,16.2
01-06-2019 18:30,16.13,0,1.44841,247.5,3.3595,16
01-06-2019 18:40,15.72,0,0.321868,202.5,1.44841,15.9
01-06-2019 18:50,15.1,0,0.643736,202.5,2.21284,15.7
01-06-2019 19:00,14.49,0,0.301751,202.5,1.66969,15.5
01-06-2019 19:10,13.95,0,0.120701,202.5,1.46852,15.3
01-06-2019 19:20,13.35,0,0,202.5,0,15.2
01-06-2019 19:30,12.71,0,1.73004,202.5,4.00323,15
01-06-2019 19:40,12.56,0,0.945487,135,2.97728,14.8
01-06-2019 19:50,12.64,0,1.04607,247.5,3.76183,14.7
01-06-2019 20:00,12.82,0,1.40817,270,3.25891,14.6
01-06-2019 20:10,12.78,0,1.54899,292.5,2.9974,14.4
01-06-2019 20:20,12.36,0,1.93121,315,3.4802,14.3
01-06-2019 20:30,11.94,0,1.28747,90,3.27903,14.2
01-06-2019 20:40,11.44,0,0.583386,90,0.704086,14.1
01-06-2019 20:50,11.06,0,0.221284,90,1.56911,14
01-06-2019 21:00,10.69,0,0.764436,90,2.11226,13.8
01-06-2019 21:10,10.49,0,1.91109,0,3.46008,13.7
01-06-2019 21:20,10.3,0,0,0,0,13.6
01-06-2019 21:30,10,0,0,0,0,13.5
01-06-2019 21:40,9.72,0,0,0,0,13.4
01-06-2019 21:50,9.48,0,0.080467,0,1.30759,13.3
01-06-2019 22:00,9.26,0,0.0402335,0,1.0863,13.2
01-06-2019 22:10,8.98,0,0,0,0,13.1
01-06-2019 22:20,8.72,0,0,0,0,13
01-06-2019 22:30,8.19,0,0,0,0,12.9
01-06-2019 22:40,8.1,0,0.221284,0,2.03179,12.8
01-06-2019 22:50,7.96,0,0.0402335,0,0.905254,12.7
01-06-2019 23:00,8.02,0,1.48864,112.5,3.80207,12.6
01-06-2019 23:10,7.79,0,2.57494,157.5,4.40557,12.5
01-06-2019 23:20,7.94,0,2.11226,135,4.34522,12.4
01-06-2019 23:30,7.88,0,1.62946,135,1.62946,12.4
01-06-2019 23:40,7.72,0,1.50876,135,1.50876,12.3
01-06-2019 23:50,7.41,0,3.6009,135,6.33678,12.2
02-06-2019 00:00,7.31,0,3.963,135,6.41724,12.1
02-06-2019 00:10,7.26,0,2.8767,135,4.90849,12.1
02-06-2019 00:20,7.12,0,0.281635,135,3.92277,12
02-06-2019 00:30,6.94,0,0.0201168,135,0.784553,11.9
02-06-2019 00:40,6.68,0,0,135,0,11.9
02-06-2019 00:50,6.43,0,0.402335,135,2.21284,11.7
02-06-2019 01:00,6.14,0,1.89097,135,3.52043,11.7
02-06-2019 01:10,6.07,0,1.18689,135,4.52627,11.6
02-06-2019 01:20,5.96,0,0,135,0,11.6
02-06-2019 01:30,5.89,0,0,135,0,11.5
02-06-2019 01:40,5.78,0,0.201168,135,0.583386,11.4
