Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Direccion de Viento [°],Rafaga de Viento [km/h],Temperatura de suelo [°C]
21-10-2019 15:50,25.6293492858015,0,12.1907808,72,25.8702048,24.2
21-10-2019 16:00,25.5991331949701,0,14.08176,120,23.6975904,23.9
21-10-2019 16:10,25.6293492858015,0,12.774168,96,23.4964224,23.8
21-10-2019 16:20,25.8710780124527,0,13.880592,96,22.12848,23.7
21-10-2019 16:30,26.576120131852,0,11.1447072,72,,23.7
21-10-2019 16:40,26.5459040410206,0,10.5412032,216,20.7605376,23.6
21-10-2019 16:50,26.1631668904896,0,0.0201168,72,0.2212848,23.6
21-10-2019 17:00,26.6969844951776,0,12.4522992,24,0.3822192,23.7
21-10-2019 17:10,25.6897814674643,0,13.7196576,48,22.4905824,23.7
21-10-2019 17:20,24.5314979855939,0,15.5100528,48,26.3328912,23.7
21-10-2019 17:30,23.9876083506287,0,15.8721552,48,22.8728016,23.7
21-10-2019 17:40,23.6250152606519,0,16.9785792,48,27.6203664,23.7
21-10-2019 17:50,23.4638627762178,0,14.9065488,48,21.3841584,23.7
21-10-2019 18:00,23.3530704431693,0,14.5042128,48,21.927312,23.7
21-10-2019 18:10,23.1919179587352,0,15.3692352,48,21.4847424,23.6
21-10-2019 18:20,23.101269686241,0,13.5386064,48,19.3523616,23.6
21-10-2019 18:30,22.9199731412526,0,12.7138176,48,20.5392528,23.6
21-10-2019 18:40,22.6782444146014,0,12.6333504,72,19.2517776,23.5
21-10-2019 18:50,22.345867415456,0,11.2050576,48,15.9727392,23.4
21-10-2019 19:00,21.8523379318764,0,11.265408,48,16.4153088,23.4
21-10-2019 19:10,21.2278720546942,0,10.7222544,72,16.7774112,23.3
21-10-2019 19:20,20.532901965572,0,10.1791008,72,14.8461984,23.2
21-10-2019 19:30,19.8882920278354,0,9.6359472,24,14.0616432,23.1
21-10-2019 19:40,19.2638261506532,0,9.0123264,48,13.8202416,23
21-10-2019 19:50,18.6695763643023,0,6.9604128,24,13.176504,22.9
21-10-2019 20:00,18.0954706385057,0,7.9863696,48,10.8228384,22.7
21-10-2019 20:10,17.742949578806,0,7.946136,24,12.9954528,22.6
21-10-2019 20:20,17.3904285191063,0,7.5035664,48,10.4808528,22.5
21-10-2019 20:30,16.9674032474667,0,5.1499008,48,7.6846176,22.3
