Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Direccion de Viento [°]
01-06-2019 00:00,12.19,0,9.35429,112.5
01-06-2019 00:10,12.2,0,9.0123,112.5
01-06-2019 00:20,12.18,0,8.93184,112.5
01-06-2019 00:30,12.14,0,10.4607,112.5
01-06-2019 00:40,12.08,0,10.5211,112.5
01-06-2019 00:50,12.06,0,10.3601,112.5
01-06-2019 01:00,12.01,0,8.99219,90
01-06-2019 01:10,12.01,0,8.85137,90
01-06-2019 01:20,12,0,8.81114,112.5
01-06-2019 01:30,12.02,0,8.42892,112.5
01-06-2019 01:40,12.03,0,6.23619,112.5
01-06-2019 01:50,12.07,0,6.17584,112.5
01-06-2019 02:00,12.01,0,9.11289,67.5
01-06-2019 02:10,11.97,0,8.56974,67.5
01-06-2019 02:20,11.94,0,11.8689,90
01-06-2019 02:30,11.93,0,7.96623,90
01-06-2019 02:40,11.93,0,12.9753,90
01-06-2019 02:50,11.92,0,8.99219,45
01-06-2019 03:00,11.89,0,11.8085,67.5
01-06-2019 03:10,11.86,0,13.9208,45
01-06-2019 03:20,11.86,0,10.4607,90
01-06-2019 03:30,11.86,0,8.58985,90
01-06-2019 03:40,11.86,0,8.93184,45
01-06-2019 03:50,11.89,0,7.78518,67.5
01-06-2019 04:00,11.93,0,7.40296,90
01-06-2019 04:10,12,0,5.53211,112.5
01-06-2019 04:20,12.07,0,4.86825,112.5
01-06-2019 04:30,12.1,0,4.86825,90
01-06-2019 04:40,12.15,0,1.64957,90
01-06-2019 04:50,12.18,0,3.46008,90
01-06-2019 05:00,12.22,0,4.38545,90
01-06-2019 05:10,12.29,0,0.86502,90
01-06-2019 05:20,12.37,0,2.27319,90
01-06-2019 05:30,12.42,0,4.04347,90
01-06-2019 05:40,12.46,0,3.27903,112.5
01-06-2019 05:50,12.51,0,4.26475,112.5
01-06-2019 06:00,12.51,0,4.8079,112.5
01-06-2019 06:10,12.52,0,1.34782,112.5
01-06-2019 06:20,12.5,0,5.00907,112.5
01-06-2019 06:30,12.48,0,5.57234,112.5
01-06-2019 06:40,12.43,0,6.31666,112.5
01-06-2019 06:50,12.33,0,4.64697,112.5
01-06-2019 07:00,12.26,0,5.71316,112.5
01-06-2019 07:10,12.22,0,3.74172,112.5
01-06-2019 07:20,12.19,0,4.16417,112.5
01-06-2019 07:30,12.19,0,1.70992,112.5
01-06-2019 07:40,12.21,0,0,112.5
01-06-2019 07:50,12.22,0,0,112.5
01-06-2019 08:00,12.26,0,0,112.5
01-06-2019 08:10,12.29,0,0,112.5
01-06-2019 08:20,12.3,0,0,112.5
