Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Direccion de Viento [°],Rafaga de Viento [km/h]
01-06-2019 00:00,10.38,0,7.52366,67.5,15.8319
01-06-2019 00:10,10.38,0,8.20763,45,16.4354
01-06-2019 00:20,10.41,0,9.95779,45,18.3867
01-06-2019 00:30,10.41,0,9.15312,45,20.2375
01-06-2019 00:40,10.44,0,9.77674,45,18.0045
01-06-2019 00:50,10.49,0,7.12133,45,15.7313
01-06-2019 01:00,10.51,0,8.91172,22.5,17.743
01-06-2019 01:10,10.48,0,7.64436,45,15.7514
01-06-2019 01:20,10.51,0,7.70472,45,14.3231
01-06-2019 01:30,10.53,0,7.76507,45,15.168
01-06-2019 01:40,10.51,0,4.74755,45,12.7138
01-06-2019 01:50,10.5,0,4.62685,22.5,10.0584
01-06-2019 02:00,10.54,0,4.8079,67.5,6.65864
01-06-2019 02:10,10.64,0,9.05254,0,19.2517
01-06-2019 02:20,10.68,0,8.73067,22.5,19.8552
01-06-2019 02:30,10.71,0,8.2881,22.5,19.8753
01-06-2019 02:40,10.69,0,8.67032,22.5,20.3582
01-06-2019 02:50,10.7,0,9.57557,0,24.1602
01-06-2019 03:00,10.68,0,9.41464,22.5,27.0771
01-06-2019 03:10,10.64,0,12.8144,0,24.1401
01-06-2019 03:20,10.61,0,7.24203,22.5,19.5132
01-06-2019 03:30,10.62,0,9.133,22.5,17.3608
01-06-2019 03:40,10.64,0,9.35429,0,20.6398
01-06-2019 03:50,10.67,0,9.71639,22.5,20.6599
01-06-2019 04:00,10.67,0,5.97467,0,15.5301
01-06-2019 04:10,10.68,0,5.73327,67.5,17.0791
01-06-2019 04:20,10.68,0,4.64697,67.5,7.48343
01-06-2019 04:30,10.67,0,2.91693,22.5,8.91172
01-06-2019 04:40,10.66,0,1.91109,22.5,5.51199
01-06-2019 04:50,10.67,0,2.81634,22.5,4.10382
01-06-2019 05:00,10.68,0,1.54899,22.5,4.84814
01-06-2019 05:10,10.69,0,2.07203,22.5,4.42568
01-06-2019 05:20,10.67,0,2.17261,22.5,6.03503
01-06-2019 05:30,10.62,0,3.37961,22.5,6.29654
01-06-2019 05:40,10.6,0,5.29071,22.5,12.1505
01-06-2019 05:50,10.63,0,6.69888,45,11.3861
01-06-2019 06:00,10.62,0,3.25891,67.5,7.52366
01-06-2019 06:10,10.57,0,2.39389,67.5,5.08954
01-06-2019 06:20,10.54,0,1.48864,67.5,5.45164
01-06-2019 06:30,10.51,0,4.06358,67.5,7.926
01-06-2019 06:40,10.48,0,3.74172,67.5,5.79362
01-06-2019 06:50,10.44,0,5.02919,67.5,8.46915
01-06-2019 07:00,10.41,0,4.06358,67.5,8.34845
01-06-2019 07:10,10.37,0,1.06619,67.5,3.74172
01-06-2019 07:20,10.35,0,4.42568,67.5,7.38285
01-06-2019 07:30,10.3,0,2.31343,67.5,8.08693
01-06-2019 07:40,10.24,0,0,67.5,0
01-06-2019 07:50,10.2,0,0,67.5,0
01-06-2019 08:00,10.18,0,0,67.5,0
01-06-2019 08:10,10.18,0,1.32771,67.5,8.81114
01-06-2019 08:20,10.1,0,3.8423,67.5,8.24787
01-06-2019 08:30,10.13,0,6.07526,112.5,6.07526
01-06-2019 08:40,10.22,0,5.67292,112.5,10.8027
01-06-2019 08:50,10.32,0,4.76767,112.5,8.22775
01-06-2019 09:00,10.47,0,3.64113,112.5,8.18752
01-06-2019 09:10,10.64,0,3.4802,112.5,7.24203
01-06-2019 09:20,10.79,0,2.55483,112.5,6.73911
01-06-2019 09:30,10.97,0,1.91109,112.5,4.82802
01-06-2019 09:40,11.22,0,2.21284,112.5,5.27059
01-06-2019 09:50,11.39,0,1.68981,112.5,6.01491
01-06-2019 10:00,11.61,0,1.26736,112.5,4.52627
01-06-2019 10:10,11.98,0,0.583386,112.5,2.45424
01-06-2019 10:20,12.21,0,0.482802,112.5,3.74172
01-06-2019 10:30,12.47,0,0.724203,112.5,3.52043
01-06-2019 10:40,12.68,0,1.12654,112.5,4.3251
01-06-2019 10:50,13.01,0,1.77027,112.5,4.18428
01-06-2019 11:00,13.18,0,1.81051,112.5,5.53211
01-06-2019 11:10,13.32,0,1.75016,112.5,5.41141
01-06-2019 11:20,13.77,0,0.603503,112.5,3.43996
01-06-2019 11:30,14.07,0,1.16677,112.5,7.5639
01-06-2019 11:40,13.88,0,4.26475,112.5,8.08693
01-06-2019 11:50,14.15,0,1.26736,45,4.00323
01-06-2019 12:00,14.65,0,3.56066,45,8.69044
01-06-2019 12:10,15.45,0,2.69564,45,6.37701
01-06-2019 12:20,16.44,0,4.78779,45,9.99802
01-06-2019 12:30,17.29,0,4.4458,45,10.2595
01-06-2019 12:40,18.37,0,2.49448,45,9.17324
01-06-2019 12:50,19.37,0,4.12393,45,7.62425
01-06-2019 13:00,19.34,0,3.74172,22.5,7.926
01-06-2019 13:10,19.59,0,4.58662,67.5,11.3257
01-06-2019 13:20,20.17,0,2.07203,315,11.205
01-06-2019 13:30,20.54,0,2.67553,315,6.94028
01-06-2019 13:40,20.66,0,3.86242,315,10.6418
01-06-2019 13:50,20.81,0,3.7216,22.5,10.5009
01-06-2019 14:00,20.78,0,0.382218,22.5,4.46592
01-06-2019 14:10,21.46,0,0,22.5,0
01-06-2019 14:20,21.45,0,0,67.5,0
01-06-2019 14:30,22.35,0,0,45,0
01-06-2019 14:40,21.79,0,0,45,0
01-06-2019 14:50,22.04,0,4.06358,90,6.63853
01-06-2019 15:00,22.38,0,4.62685,112.5,11.0441
01-06-2019 15:10,22.97,0,3.15833,112.5,11.2855
01-06-2019 15:20,22.9,0,4.90849,112.5,10.6216
01-06-2019 15:30,22.66,0,1.68981,112.5,5.85397
01-06-2019 15:40,22.16,0,5.37117,45,15.8319
01-06-2019 15:50,21.62,0,6.23619,67.5,13.0759
01-06-2019 16:00,21.4,0,3.74172,67.5,9.19336
01-06-2019 16:10,21.96,0,4.36533,90,10.7625
01-06-2019 16:20,22.08,0,1.70992,90,4.40557
01-06-2019 16:30,22.26,0,1.30759,90,5.53211
01-06-2019 16:40,22.72,0,0.120701,90,1.00584
01-06-2019 16:50,22.29,0,0,90,0
01-06-2019 17:00,22.16,0,0,90,0
01-06-2019 17:10,21.47,0,0,90,0
01-06-2019 17:20,21.3,0,0.0201168,90,1.10642
01-06-2019 17:30,20.73,0,3.09798,90,3.09798
01-06-2019 17:40,19.7,0,2.31343,90,5.99479
01-06-2019 17:50,17.86,0,0,90,0
01-06-2019 18:00,16.25,0,0,90,0
01-06-2019 18:10,14.88,0,0,90,0
01-06-2019 18:20,13.71,0,0,90,0
01-06-2019 18:30,12.64,0,0,90,0
01-06-2019 18:40,11.8,0,0,90,0
01-06-2019 18:50,11.29,0,0,90,0
01-06-2019 19:00,10.65,0,0,90,0
01-06-2019 19:10,10.09,0,0,90,0
01-06-2019 19:20,9.7,0,0,90,0
01-06-2019 19:30,9.35,0,0,90,0
01-06-2019 19:40,9,0,0,90,0
01-06-2019 19:50,8.81,0,0,90,0
01-06-2019 20:00,8.6,0,0,90,0
01-06-2019 20:10,8.73,0,0,90,0
01-06-2019 20:20,8.66,0,0,90,0
