Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Direccion de Viento [°]
01-06-2019 00:00,10.7,0,3.58078,22.5
01-06-2019 00:10,10.65,0,3.92277,22.5
01-06-2019 00:20,10.63,0,4.00323,22.5
01-06-2019 00:30,10.61,0,3.963,22.5
01-06-2019 00:40,10.59,0,3.43996,22.5
01-06-2019 00:50,10.56,0,3.15833,0
01-06-2019 01:00,10.5,0,3.46008,0
01-06-2019 01:10,10.45,0,3.27903,0
01-06-2019 01:20,10.44,0,3.62101,0
01-06-2019 01:30,10.45,0,3.05775,0
01-06-2019 01:40,10.47,0,1.99156,0
01-06-2019 01:50,10.5,0,0.301751,0
01-06-2019 02:00,10.52,0,0.844903,0
01-06-2019 02:10,10.56,0,2.01167,0
01-06-2019 02:20,10.6,0,2.27319,0
01-06-2019 02:30,10.6,0,1.34782,0
01-06-2019 02:40,10.6,0,1.66969,0
01-06-2019 02:50,10.59,0,2.01167,0
01-06-2019 03:00,10.56,0,4.10382,0
01-06-2019 03:10,10.55,0,3.70148,0
01-06-2019 03:20,10.54,0,4.58662,0
01-06-2019 03:30,10.54,0,3.21868,0
01-06-2019 03:40,10.56,0,2.73588,0
01-06-2019 03:50,10.58,0,3.50031,0
01-06-2019 04:00,10.6,0,1.85074,0
01-06-2019 04:10,10.65,0,3.37961,0
01-06-2019 04:20,10.7,0,1.10642,0
01-06-2019 04:30,10.74,0,1.22712,0
01-06-2019 04:40,10.79,0,0.0402335,0
01-06-2019 04:50,10.8,0,0,0
01-06-2019 05:00,10.82,0,0,0
01-06-2019 05:10,10.82,0,0,0
01-06-2019 05:20,10.82,0,0,0
01-06-2019 05:30,10.84,0,0,0
01-06-2019 05:40,10.84,0,0,0
01-06-2019 05:50,10.83,0,0,0
01-06-2019 06:00,10.8,0,0,0
01-06-2019 06:10,10.78,0,0,0
01-06-2019 06:20,10.77,0,0,0
01-06-2019 06:30,10.74,0,0,0
01-06-2019 06:40,10.72,0,0,0
01-06-2019 06:50,10.69,0,0,0
01-06-2019 07:00,10.66,0,0,0
01-06-2019 07:10,10.64,0,0,0
01-06-2019 07:20,10.62,0,0,0
01-06-2019 07:30,10.63,0,0,0
01-06-2019 07:40,10.6,0,0,0
01-06-2019 07:50,10.49,0,0,0
01-06-2019 08:00,10.27,0,0,0
01-06-2019 08:10,10.14,0,0,0
01-06-2019 08:20,10.05,0,0,0
01-06-2019 08:30,10.04,0,0,0
01-06-2019 08:40,10.13,0,0,0
01-06-2019 08:50,10.23,0,0,0
01-06-2019 09:00,10.34,0,0,0
01-06-2019 09:10,10.44,0,0,0
01-06-2019 09:20,10.57,0,0,0
01-06-2019 09:30,10.7,0,0,0
01-06-2019 09:40,10.8,0,0,0
01-06-2019 09:50,10.98,0,0,0
01-06-2019 10:00,11.2,0,0,0
01-06-2019 10:10,11.34,0,0,0
01-06-2019 10:20,11.5,0,0,0
01-06-2019 10:30,11.65,0,0,45
01-06-2019 10:40,11.83,0,0,0
01-06-2019 10:50,11.98,0,0,0
01-06-2019 11:00,12.17,0,0,0
01-06-2019 11:10,12.36,0,0,0
01-06-2019 11:20,12.57,0,0,0
01-06-2019 11:30,12.72,0,0,0
01-06-2019 11:40,12.95,0,0,22.5
01-06-2019 11:50,13.17,0,0,0
01-06-2019 12:00,13.46,0,0,0
01-06-2019 12:10,13.92,0,0.985721,0
01-06-2019 12:20,14.36,0,2.11226,67.5
01-06-2019 12:30,15.16,0,2.15249,0
01-06-2019 12:40,15.95,0,2.21284,0
01-06-2019 12:50,16.3,0,3.64113,0
01-06-2019 13:00,16.33,0,3.21868,0
01-06-2019 13:10,16.53,0,2.17261,0
01-06-2019 13:20,16.64,0,3.54055,0
01-06-2019 13:30,16.74,0,2.49448,0
01-06-2019 13:40,16.91,0,3.66125,0
01-06-2019 13:50,17.01,0,3.37961,0
01-06-2019 14:00,17.05,0,2.95716,0
01-06-2019 14:10,17.15,0,3.2388,0
01-06-2019 14:20,17.34,0,1.95132,0
01-06-2019 14:30,17.62,0,4.04347,0
01-06-2019 14:40,17.72,0,2.75599,0
01-06-2019 14:50,17.91,0,2.03179,0
01-06-2019 15:00,17.9,0,3.963,0
01-06-2019 15:10,18.02,0,3.43996,0
01-06-2019 15:20,18.04,0,2.91693,0
01-06-2019 15:30,18.1,0,5.02919,0
01-06-2019 15:40,18.02,0,4.24463,0
01-06-2019 15:50,17.97,0,3.76183,0
01-06-2019 16:00,17.94,0,4.3251,0
01-06-2019 16:10,18.09,0,1.54899,0
01-06-2019 16:20,17.99,0,3.56066,0
01-06-2019 16:30,17.62,0,2.69564,0
01-06-2019 16:40,17.66,0,2.41401,0
01-06-2019 16:50,17.59,0,1.93121,0
01-06-2019 17:00,17.39,0,1.12654,0
01-06-2019 17:10,17.18,0,3.90265,0
01-06-2019 17:20,16.91,0,3.78195,22.5
01-06-2019 17:30,16.65,0,3.56066,0
01-06-2019 17:40,16.44,0,2.97728,0
01-06-2019 17:50,16.2,0,0.120701,0
01-06-2019 18:00,15.79,0,0,0
01-06-2019 18:10,15.33,0,0,0
01-06-2019 18:20,14.83,0,0,0
01-06-2019 18:30,14.34,0,0,45
01-06-2019 18:40,13.87,0,0.885137,67.5
01-06-2019 18:50,13.41,0,0.0402335,90
01-06-2019 19:00,12.92,0,0.0201168,90
01-06-2019 19:10,12.5,0,0.482802,90
01-06-2019 19:20,12.31,0,1.48864,67.5
01-06-2019 19:30,12.06,0,0.824787,67.5
01-06-2019 19:40,11.79,0,0,67.5
01-06-2019 19:50,11.46,0,0.321868,0
01-06-2019 20:00,11.2,0,0.523035,0
01-06-2019 20:10,11.01,0,1.18689,0
01-06-2019 20:20,10.77,0,0,0
01-06-2019 20:30,10.43,0,0.181051,0
01-06-2019 20:40,10.2,0,1.10642,0
01-06-2019 20:50,9.95,0,0.0603503,0
01-06-2019 21:00,9.66,0,0.181051,0
01-06-2019 21:10,9.32,0,0.181051,0
01-06-2019 21:20,9.09,0,0,0
01-06-2019 21:30,8.85,0,0,0
01-06-2019 21:40,8.65,0,0,0
01-06-2019 21:50,8.49,0,0.160934,0
01-06-2019 22:00,8.38,0,0.080467,0
01-06-2019 22:10,8.2,0,0.201168,0
01-06-2019 22:20,8.14,0,0.623619,22.5
01-06-2019 22:30,8.03,0,0,22.5
01-06-2019 22:40,7.89,0,0.140817,0
01-06-2019 22:50,7.81,0,0.603503,22.5
01-06-2019 23:00,7.72,0,0,22.5
01-06-2019 23:10,7.61,0,0.925371,0
01-06-2019 23:20,7.55,0,0.80467,0
01-06-2019 23:30,7.43,0,0,0
01-06-2019 23:40,7.29,0,0.563269,0
01-06-2019 23:50,7.24,0,1.16677,0
02-06-2019 00:00,7.21,0,0.86502,0
02-06-2019 00:10,7.14,0,0.281635,0
02-06-2019 00:20,7.01,0,0.844903,0
02-06-2019 00:30,6.92,0,0.402335,0
02-06-2019 00:40,6.74,0,0.0402335,0
02-06-2019 00:50,6.62,0,0.0402335,0
02-06-2019 01:00,6.52,0,0.241401,225
02-06-2019 01:10,6.46,0,0.382218,225
02-06-2019 01:20,6.33,0,0.0201168,270
02-06-2019 01:30,6.18,0,0,247.5
02-06-2019 01:40,6.15,0,0,247.5
02-06-2019 01:50,6.16,0,0,270
02-06-2019 02:00,6.13,0,0,270
02-06-2019 02:10,6.07,0,0,292.5
02-06-2019 02:20,6.03,0,0,292.5
