Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Rafaga de Viento [km/h],Temperatura de suelo [°C]
22-10-2019 16:00,22.1746429007447,0,0,0,-19.6
22-10-2019 16:03,21.1775119033085,0,0,0,-21.2
22-10-2019 16:10,20.9559272372116,0,0,0,-14
22-10-2019 16:20,20.3213893297522,0,0,0,-18
22-10-2019 16:30,20.4120376022464,0,9.7164144,21.3640416,29.2
22-10-2019 16:40,21.0465755097058,0,10.7423712,22.1485968,26.8
22-10-2019 16:50,21.0365034794286,0,10.7222544,25.5081024,22.6
22-10-2019 17:00,22.496947869613,0,7.5840336,19.8552816,21.8
22-10-2019 17:10,22.7588206568185,0,10.863072,20.4587856,21.6
22-10-2019 17:20,23.3228543523379,0,8.6703408,18.1654704,21.5
22-10-2019 17:30,23.0408375045782,0,8.04672,15.6106368,21.5
22-10-2019 17:40,22.1142107190819,0,9.0324432,17.8234848,21.4
22-10-2019 17:50,21.06671957026,0,6.437376,16.3348416,21.4
22-10-2019 18:00,20.4120376022464,0,8.9922096,19.312128,21.4
22-10-2019 18:10,20.1501648150409,0,7.4230992,17.6022,21.4
22-10-2019 18:20,20.0192284214382,0,8.2680048,14.9065488,21.4
22-10-2019 18:30,19.8379318764498,0,9.4750128,22.9532688,21.4
22-10-2019 18:40,19.6364912709071,0,6.4574928,14.6249136,21.4
22-10-2019 18:50,19.253754120376,0,5.129784,11.56716,21.4
22-10-2019 19:00,18.9616652423392,0,4.52628,10.9033056,21.4
22-10-2019 19:10,18.6796483945794,0,3.8624256,10.8228384,21.4
22-10-2019 19:20,18.3875595165426,0,3.4802064,0.6236208,21.3
22-10-2019 19:30,17.9947503357344,0,4.928616,10.9234224,21.3
22-10-2019 19:40,17.6321572457575,0,4.1440608,10.3199184,21.3
22-10-2019 19:50,17.2594921255036,0,3.3393888,7.443216,21.2
22-10-2019 20:00,16.8868270052497,0,3.7417248,7.3627488,21.1
22-10-2019 20:10,16.6048101574899,0,3.1985712,6.6586608,21.1
22-10-2019 20:20,16.3328653400073,0,2.1323808,5.0493168,21
22-10-2019 20:30,16.0508484922476,0,0.8449056,2.4743664,21
22-10-2019 20:40,15.7889757050421,0,0.301752,0.8650224,20.9
22-10-2019 20:50,15.4868147967281,0,0.6437376,0,20.8
22-10-2019 21:00,16.2724331583445,0,0.1408176,0.9857232,20.8
22-10-2019 21:10,15.9602002197534,0,0.3621024,0.4224528,20.7
22-10-2019 21:20,15.6781833719937,0,0.8247888,1.106424,20.6
22-10-2019 21:30,15.2652301306312,0,1.2673584,2.8968192,20.5
22-10-2019 21:40,14.872420949823,0,0.5632704,1.1868912,20.5
22-10-2019 21:50,14.6105481626175,0,0.603504,1.8909792,20.4
22-10-2019 22:00,14.4292516176291,0,0.0201168,0.7242048,20.3
22-10-2019 22:10,14.2177389818093,0,0.2615184,1.4484096,20.2
22-10-2019 22:20,13.9961543157124,0,1.0661904,1.106424,20.2
22-10-2019 22:30,13.814857770724,0,0.8851392,1.3880592,20.1
22-10-2019 22:40,13.663777316567,0,0.2615184,1.207008,20
22-10-2019 22:50,13.4925528018557,0,0,0,19.9
22-10-2019 23:00,13.291112196313,0,0.2615184,0.9656064,19.8
22-10-2019 23:10,13.140031742156,0,0,0,19.8
22-10-2019 23:20,13.0493834696618,0,0.0201168,1.0460736,19.7
22-10-2019 23:30,13.0292394091076,0,0.5833872,2.4341328,19.6
22-10-2019 23:40,13.0191673788304,0,0.603504,2.112264,19.6
22-10-2019 23:50,12.837870833842,0,1.5288768,2.8364688,19.5
23-10-2019 00:00,12.5961421071908,0,2.0921472,0,19.4
23-10-2019 00:10,12.3745574410939,0,1.408176,2.7358848,19.4
23-10-2019 00:20,12.1227566841655,0,0.2414016,1.2874752,19.3
23-10-2019 00:30,11.9313881089,0,0,0,19.2
23-10-2019 00:40,11.7400195336345,0,0,0,19.1
23-10-2019 00:50,11.5788670492003,0,0,0,19.1
23-10-2019 01:00,11.4680747161519,0,0.7242048,1.5691104,19
23-10-2019 01:10,11.3975705042119,0,1.1265408,2.2530816,18.9
23-10-2019 01:20,11.4076425344891,0,0.7644384,1.9915632,18.9
23-10-2019 01:30,11.4277865950433,0,0.7443216,1.9714464,18.8
23-10-2019 01:40,11.4277865950433,0,2.1524976,1.3880592,18.7
23-10-2019 01:50,11.5990111097546,0,1.1466576,2.9370528,18.7
23-10-2019 02:00,11.7903796850201,0,1.7702784,4.425696,18.6
23-10-2019 02:10,11.9112440483457,0,1.1868912,3.5405568,18.6
23-10-2019 02:20,11.8910999877915,0,1.3679424,2.2731984,18.5
23-10-2019 02:30,11.8105237455744,0,1.6898112,3.6612576,18.4
23-10-2019 02:40,11.780307654743,0,2.01168,0,18.4
23-10-2019 02:50,11.6594432914174,0,2.2329648,4.1842944,18.3
23-10-2019 03:00,11.5385789280918,0,3.319272,5.9545728,18.3
23-10-2019 03:10,11.478146746429,0,2.6353008,3.7819584,18.2
23-10-2019 03:20,11.4076425344891,0,3.4600896,6.336792,18.2
23-10-2019 03:30,11.3774264436577,0,2.01168,2.6755344,18.1
23-10-2019 03:40,11.2867781711635,0,1.5288768,0,18.1
23-10-2019 03:50,11.0651935050665,0,2.7358848,6.0149232,18
23-10-2019 04:00,10.9544011720181,0,1.9312128,1.709928,18
23-10-2019 04:10,10.8536808692467,0,2.1927312,3.922776,17.9
23-10-2019 04:20,10.7328165059211,0,1.7903952,2.7761184,17.9
23-10-2019 04:30,10.6220241728727,0,1.810512,0,17.8
23-10-2019 04:40,10.4709437187157,0,1.50876,3.419856,17.8
23-10-2019 04:50,10.3299352948358,0,0.5833872,0.6236208,17.7
23-10-2019 05:00,10.1284946892931,0,0.6437376,2.9974032,17.7
23-10-2019 05:10,9.90691002319619,0,1.5892272,2.4341328,17.6
23-10-2019 05:20,9.73568550848492,0,1.9714464,2.8968192,17.6
23-10-2019 05:30,9.64503723599072,0,0.1810512,1.6294608,17.5
23-10-2019 05:40,9.44359663044806,0,2.7358848,4.7073312,17.5
23-10-2019 05:50,9.29251617629105,0,2.7560016,4.5866304,17.4
23-10-2019 06:00,9.27237211573679,0,0.7242048,0.8247888,17.4
23-10-2019 06:10,9.19179587351972,0,2.6755344,0,17.3
23-10-2019 06:20,9.29251617629105,0,2.7560016,5.632704,17.2
23-10-2019 06:30,9.28244414601392,0,3.6009072,7.242048,17.2
23-10-2019 06:40,9.50402881211085,0,3.0577536,5.7534048,17.2
23-10-2019 06:50,9.64503723599072,0,1.3277088,2.6353008,17.1
23-10-2019 07:00,9.83640581125626,0,1.5892272,5.0895504,17
23-10-2019 07:10,10.1284946892931,0,1.6294608,1.4886432,17
23-10-2019 07:20,10.7428885361983,0,0.5632704,1.1466576,17
23-10-2019 07:30,11.4680747161519,0,2.1927312,4.224528,16.9
23-10-2019 07:40,12.2234769869369,0,2.2329648,3.8624256,16.9
23-10-2019 07:50,12.9990233182762,0,2.4743664,6.3971424,16.8
23-10-2019 08:00,13.7745696496154,0,3.822192,6.7592448,16.8
23-10-2019 08:10,14.5400439506776,0,4.0032432,8.04672,16.7
23-10-2019 08:20,15.174581858137,0,4.8883824,9.454896,16.7
23-10-2019 08:30,15.8091197655964,0,4.5061632,9.9376992,16.7
23-10-2019 08:40,16.4436576730558,0,4.02336,7.7248512,16.7
23-10-2019 08:50,16.9573312171896,0,3.7014912,5.934456,16.7
23-10-2019 09:00,17.4005005493835,0,2.2329648,5.5723536,16.7
23-10-2019 09:10,17.9343181540715,0,1.8306288,5.0292,16.7
23-10-2019 09:20,18.5184959101453,0,1.810512,5.53212,16.7
23-10-2019 09:30,18.6393602734709,0,3.8624256,7.3023984,16.7
23-10-2019 09:40,18.8307288487364,0,2.4743664,7.141464,16.7
23-10-2019 09:50,18.951593212062,0,3.7417248,7.3023984,16.7
23-10-2019 10:00,19.1530338176047,0,4.4860464,9.5957136,16.8
23-10-2019 10:10,19.5760590892443,0,3.621024,10.5814368,16.9
23-10-2019 10:20,19.9990843608839,0,4.4860464,2.0720304,16.9
23-10-2019 10:30,20.3918935416921,0,3.8423088,9.1330272,17
23-10-2019 10:40,20.8552069344402,0,3.0979872,4.9688496,17
23-10-2019 10:50,21.06671957026,0,3.2388048,9.2738448,17.1
23-10-2019 11:00,21.6106092052252,0,3.218688,11.7884448,17.2
23-10-2019 11:10,22.1847149310218,0,3.4600896,1.8708624,17.3
23-10-2019 11:20,22.7084605054328,0,3.5807904,11.2855248,17.4
23-10-2019 11:30,22.5775241118301,0,5.3510688,10.0584,17.5
23-10-2019 11:40,22.6681723843243,0,4.5665136,6.7592448,17.6
23-10-2019 11:50,22.7185325357099,0,3.5807904,8.6301072,17.8
23-10-2019 12:00,23.101269686241,0,3.7819584,7.9863696,17.9
23-10-2019 12:10,23.2019899890123,0,4.4458128,3.5606736,18
23-10-2019 12:20,23.5746551092663,0,2.6755344,5.6125872,18.2
23-10-2019 12:30,23.8768160175803,0,4.425696,11.3257584,18.3
23-10-2019 12:40,24.2998412892199,0,3.0376368,7.7248512,18.5
23-10-2019 12:50,24.8739470150165,0,4.123944,10.0584,18.6
23-10-2019 13:00,24.9645952875107,0,6.6184272,14.987016,18.8
23-10-2019 13:10,25.1660358930534,0,4.7073312,2.3938992,18.9
23-10-2019 13:20,25.3976925894274,0,4.5061632,10.762488,19.1
23-10-2019 13:30,25.6897814674643,0,5.2907184,15.4295856,19.2
23-10-2019 13:40,25.8408619216213,0,6.0551568,16.495776,19.4
23-10-2019 13:50,26.0825906482725,0,5.5522368,15.489936,19.5
23-10-2019 14:00,26.1329507996582,0,6.8195952,14.484096,19.7
23-10-2019 14:10,26.2840312538152,0,5.6125872,1.6696944,19.8
23-10-2019 14:20,26.8984251007203,0,3.1382208,10.0181664,19.9
23-10-2019 14:30,27.1200097668172,0,5.5522368,17.5217328,20
23-10-2019 14:40,27.2408741301428,0,4.5463968,12.371832,20.2
23-10-2019 14:50,27.18044194848,0,5.0694336,4.123944,20.3
23-10-2019 15:00,27.25094616042,0,7.744968,17.0791632,20.4
23-10-2019 15:10,27.1401538273715,0,5.6930544,14.0012928,20.6
23-10-2019 15:20,27.2811622512514,0,5.4918864,13.4983728,20.7
23-10-2019 15:30,27.5631790990111,0,5.8137552,14.6047968,20.8
23-10-2019 15:40,27.7344036137224,0,5.0493168,14.0415264,20.9
23-10-2019 15:50,27.5128189476254,0,5.8741056,7.9260192,21.1
23-10-2019 16:00,27.1300817970944,0,6.739128,15.3491184,21.2
23-10-2019 16:10,26.9790013429374,0,6.8598288,13.3575552,21.3
23-10-2019 16:20,26.7372726162862,0,5.5120032,16.395192,21.4
23-10-2019 16:30,26.5559760712978,0,6.0953904,14.484096,21.6
23-10-2019 16:40,26.1833109510438,0,6.9000624,12.673584,21.6
23-10-2019 16:50,26.1631668904896,0,6.2160912,14.383512,21.7
23-10-2019 17:00,26.2437431327066,0,4.4458128,15.8118048,21.8
23-10-2019 17:10,26.6667684043462,0,8.6099904,23.4964224,21.8
23-10-2019 17:20,26.8379929190575,0,7.6645008,16.6164768,21.9
23-10-2019 17:30,26.5459040410206,0,7.6645008,16.2744912,22
23-10-2019 17:40,26.1027347088268,0,7.4029824,13.4380224,22
23-10-2019 17:50,25.6092052252472,0,6.6988944,12.6132336,22.1
23-10-2019 18:00,25.4883408619216,0,5.4516528,15.3088848,22.1
23-10-2019 18:10,25.6293492858015,0,5.0694336,14.9266656,22.1
23-10-2019 18:20,25.3473324380418,0,5.3711856,15.9727392,22.2
23-10-2019 18:30,24.9041631058479,0,6.2965584,12.5931168,22.2
23-10-2019 18:40,24.612074227811,0,4.6872144,10.6820208,22.2
23-10-2019 18:50,24.6322182883653,0,2.7560016,6.53796,22.2
23-10-2019 19:00,24.460993773654,0,4.727448,13.478256,22.2
23-10-2019 19:10,23.9573922597973,0,5.129784,11.8890288,22.2
23-10-2019 19:20,23.4739348064949,0,3.7417248,8.04672,22.2
23-10-2019 19:30,23.0307654743011,0,3.2589216,6.0953904,22.1
23-10-2019 19:40,22.64802832377,0,4.2044112,7.3828656,22.1
23-10-2019 19:50,22.3861555365645,0,4.3452288,9.354312,22.1
23-10-2019 20:00,22.2250030521304,0,5.4918864,11.7884448,22
23-10-2019 20:10,22.0034183860334,0,5.431536,11.9292624,22
23-10-2019 20:20,21.6911854474423,0,5.0292,10.2193344,21.9
23-10-2019 20:30,21.368880478574,0,5.8539888,10.6820208,21.9
23-10-2019 20:40,21.0868636308143,0,6.9000624,13.1161536,21.8
23-10-2019 20:50,20.9257111463802,0,6.3770256,15.0876,21.8
23-10-2019 21:00,20.7746306922232,0,4.4055792,8.2277712,21.7
23-10-2019 21:10,20.5530460261262,0,4.4458128,8.0266032,21.7
23-10-2019 21:20,20.2911732389208,0,3.6411408,6.638544,21.6
23-10-2019 21:30,20.0595165425467,0,4.224528,7.9662528,21.6
23-10-2019 21:40,19.8882920278354,0,4.4055792,9.656064,21.5
23-10-2019 21:50,19.7674276645098,0,5.2706016,9.9175824,21.4
23-10-2019 22:00,19.7170675131242,0,4.928616,8.1674208,21.4
23-10-2019 22:10,19.5861311195214,0,5.833872,11.06424,21.3
23-10-2019 22:20,19.3645464534245,0,6.2965584,15.389352,21.3
23-10-2019 22:30,19.1530338176047,0,6.2563248,12.8546352,21.2
23-10-2019 22:40,18.8710169698449,0,4.5061632,8.0266032,21.2
23-10-2019 22:50,18.5386399706995,0,5.7735216,11.4866928,21.1
23-10-2019 23:00,18.1861189109999,0,5.230368,9.8371152,21
23-10-2019 23:10,17.8738859724087,0,5.2504848,9.957816,21
23-10-2019 23:20,17.6523013063118,0,4.5061632,9.0324432,20.9
23-10-2019 23:30,17.4005005493835,0,2.4743664,4.3653456,20.9
23-10-2019 23:40,17.1587718227323,0,2.4341328,4.4659296,20.8
23-10-2019 23:50,16.9271151263582,0,1.3880592,2.6755344,20.7
24-10-2019 00:00,16.6450982785985,0,1.3679424,2.212848,20.7
24-10-2019 00:10,16.3530094005616,0,1.6898112,2.916936,20.6
24-10-2019 00:20,16.1414967647418,0,2.6956512,5.431536,20.5
24-10-2019 00:30,16.1112806739104,0,3.0979872,5.8137552,20.5
24-10-2019 00:40,16.081064583079,0,2.6755344,5.230368,20.4
24-10-2019 00:50,16.0206324014162,0,0.704088,2.0317968,20.4
24-10-2019 01:00,15.9199120986449,0,1.3679424,2.7358848,20.3
24-10-2019 01:10,15.8292638261507,0,2.1726144,3.621024,20.2
24-10-2019 01:20,15.7486875839336,0,3.5003232,6.1155072,20.2
24-10-2019 01:30,15.778903674765,0,3.6612576,7.342632,20.1
24-10-2019 01:40,15.9400561591991,0,4.5665136,8.1271872,20
24-10-2019 01:50,15.9904163105848,0,3.8020752,5.8942224,20
24-10-2019 02:00,15.9904163105848,0,4.1038272,7.4029824,19.9
24-10-2019 02:10,15.9098400683677,0,3.2991552,5.7131712,19.9
24-10-2019 02:20,15.7386155536565,0,3.0376368,5.3913024,19.8
24-10-2019 02:30,15.5774630692223,0,3.0376368,5.9746896,19.8
24-10-2019 02:40,15.3760224636797,0,2.3938992,4.02336,19.7
24-10-2019 02:50,15.1846538884141,0,2.3737824,4.1440608,19.6
24-10-2019 03:00,15.0134293737028,0,2.6956512,5.5120032,19.6
24-10-2019 03:10,14.9026370406544,0,2.3938992,4.8481488,19.5
24-10-2019 03:20,14.8119887681602,0,2.0921472,3.9831264,19.5
24-10-2019 03:30,14.7515565864974,0,1.9714464,4.0032432,19.4
24-10-2019 03:40,14.6911244048346,0,2.5146,4.1038272,19.4
